PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_heart_01.mzXML,PRI:20180509_PC_heart_02.mzXML,PRI:20180509_PC_heart_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_heart_01.mzXML,FA1I:20180509_PC_heart_02.mzXML,FA1I:20180509_PC_heart_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_heart_01.mzXML,FA2I:20180509_PC_heart_02.mzXML,FA2I:20180509_PC_heart_03.mzXML,FACO1M,FACO1I:20180509_PC_heart_01.mzXML,FACO1I:20180509_PC_heart_02.mzXML,FACO1I:20180509_PC_heart_03.mzXML,FACO2M,FACO2I:20180509_PC_heart_01.mzXML,FACO2I:20180509_PC_heart_02.mzXML,FACO2I:20180509_PC_heart_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778.561038492,H81 C41 N1 O10 P1 ,PC,32.0,0.0,0.0,PC 32:0:0,0.87,22992.2,20602.1,36057.6,241.21703592900002,15.0,0.0,-1.12,520.2,245.8,354.4,269.248687744,17.0,0.0,0.31,255.1,0.0,0.0,None, None, None, None, None, None, None, None
778.561038492,H81 C41 N1 O10 P1 ,PC,32.0,0.0,0.0,PC 32:0:0,0.87,22992.2,20602.1,36057.6,255.232879639,16.0,0.0,-0.3,39671.0,38646.7,52423.8,255.232879639,16.0,0.0,-0.3,39671.0,38646.7,52423.8,None, None, None, None, None, None, None, None
800.545393147,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.85,26187.2,24534.8,38897.0,253.217208862,16.0,1.0,-0.38,4548.7,4223.9,5199.0,279.232971191,18.0,2.0,0.06,207720.5,213492.1,277500.0,None, None, None, None, None, None, None, None
800.545393147,H79 C43 N1 O10 P1 ,PC,34.0,3.0,0.0,PC 34:3:0,0.85,26187.2,24534.8,38897.0,255.232894897,16.0,0.0,-0.24,5291.1,5461.1,6728.6,277.217346191,18.0,3.0,0.15,11473.3,10913.0,14169.8,None, None, None, None, None, None, None, None
802.560835042,H81 C43 N1 O10 P1 ,PC,34.0,2.0,0.0,PC 34:2:0,0.59,1259178.7,1132889.1,1753933.2,255.232884725,16.0,0.0,-0.28,431291.3,407245.4,584050.1,279.232981364,18.0,2.0,0.09,1191770.8,1110000.9,1560714.2,None, None, None, None, None, None, None, None
804.577436604,H83 C43 N1 O10 P1 ,PC,34.0,1.0,0.0,PC 34:1:0,1.77,294142.1,272234.1,435527.3,253.21723938,16.0,1.0,-0.26,3198.0,2158.4,3823.1,283.264343262,18.0,0.0,0.31,1200.6,0.0,1445.6,None, None, None, None, None, None, None, None
804.577436604,H83 C43 N1 O10 P1 ,PC,34.0,1.0,0.0,PC 34:1:0,1.77,294142.1,272234.1,435527.3,255.232884725,16.0,0.0,-0.28,143065.1,121596.1,173601.8,281.248616536,18.0,1.0,0.04,352670.1,323842.8,466647.5,None, None, None, None, None, None, None, None
824.545372802,H79 C45 N1 O10 P1 ,PC,36.0,5.0,0.0,PC 36:5:0,0.8,5552.9,5353.0,8579.0,253.217201233,16.0,1.0,-0.41,367.8,0.0,433.6,303.233032227,20.0,4.0,0.25,12588.4,12236.3,17742.9,None, None, None, None, None, None, None, None
824.545372802,H79 C45 N1 O10 P1 ,PC,36.0,5.0,0.0,PC 36:5:0,0.8,5552.9,5353.0,8579.0,255.232879639,16.0,0.0,-0.3,2809.6,2146.3,3005.9,301.217366536,20.0,5.0,0.2,1019.7,888.2,1159.5,None, None, None, None, None, None, None, None
826.560916422,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.67,177546.9,158390.1,247927.8,255.232879639,16.0,0.0,-0.3,51250.8,55921.7,70027.6,303.233042399,20.0,4.0,0.29,60976.4,61288.5,80169.8,None, None, None, None, None, None, None, None
826.560916422,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.67,177546.9,158390.1,247927.8,277.217295329,18.0,3.0,-0.04,739.8,491.7,554.1,281.248697917,18.0,1.0,0.33,388.6,319.4,389.9,None, None, None, None, None, None, None, None
