Species	PRI_240116_PS_FTMSMS-_1.mzXML	PRI_240116_PS_FTMSMS-_2.mzXML	PRI_240116_PS_FTMSMS-_3.mzXML	PRI_240116_PS_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PS_FTMSMS-_1.mzXML	FAI.FC_240116_PS_FTMSMS-_2.mzXML	FAI.FC_240116_PS_FTMSMS-_3.mzXML	FAI.FC_240116_PS_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PS 20:3 (0z-11z)-20:4 (0z-8z)	[0.03479989..0.03479989]	[0.035201576..0.035201576]	[0.034848288..0.034848288]	[0.033408556..0.033408556]	[0.033408556..0.035201576]
PS 40:8:0	0.07516084	0.0	0.08544385	0.09241717	[0.0..0.09241717]	Sum	[0.0061768573..0.0061768573]	[0.0062750843..0.0062750843]	[0.005547422..0.005547422]	[0.0058281077..0.0058281077]	[0.005547422..0.0062750843]
						PS 18:2-22:6	[0.0025565359..0.0025565359]	[0.0027296436..0.0027296436]	[0.0022548544..0.0022548544]	[0.0023665032..0.0023665032]	[0.0022548544..0.0027296436]
						PS 20:4 (0z-8z)/20:4 (0z-8z)	[0.0036203205..0.0036203205]	[0.0035454389..0.0035454389]	[0.0032925666..0.0032925666]	[0.0034616059..0.0034616059]	[0.0032925666..0.0036203205]
PS 41:1:0	0.41935104	0.4522917	0.4333959	0.38807312	[0.38807312..0.4522917]	Sum	[0.16362686..0.16362686]	[0.15113527..0.15113527]	[0.1425238..0.1425238]	[0.15699047..0.15699047]	[0.1425238..0.16362686]
						PS 18:1-23:0	[0.16362685..0.16362685]	[0.15113522..0.15113522]	[0.14252377..0.14252377]	[0.1569905..0.1569905]	[0.14252377..0.16362685]
PS 41:2:0	0.3347499	0.35413462	0.33152354	0.35174224	[0.33152354..0.35413462]	Sum	[0.7164949..0.7164949]	[0.73595077..0.73595077]	[0.80996805..0.80996805]	[0.7640475..0.7640475]	[0.7164949..0.80996805]
						PS 18:1-23:1	[0.7164948..0.7164948]	[0.7359506..0.7359506]	[0.8099678..0.8099678]	[0.7640477..0.7640477]	[0.7164948..0.8099678]
PS 41:3:0	0.12225795	0.15766011	0.17971244	0.14850043	[0.12225795..0.17971244]	Sum	[0.4871355..0.4871355]	[0.46996045..0.46996045]	[0.51814294..0.51814294]	[0.5032012..0.5032012]	[0.46996045..0.51814294]
						PS 18:1-23:2	[0.31540483..0.31540483]	[0.3049547..0.3049547]	[0.3303981..0.3303981]	[0.3224864..0.3224864]	[0.3049547..0.3303981]
						PS 18:0-23:3	[0.16389412..0.16389412]	[0.16060302..0.16060302]	[0.17962117..0.17962117]	[0.1712587..0.1712587]	[0.16060302..0.17962117]
						PS 19:0-22:3	[0.0078365095..0.0078365095]	[0.004402626..0.004402626]	[0.008123494..0.008123494]	[0.0094562005..0.0094562005]	[0.004402626..0.0094562005]
PS 41:4:0	0.11053737	0.12458981	0.14214721	0.13647135	[0.11053737..0.14214721]	Sum	[0.27984396..0.27984396]	[0.29440516..0.29440516]	[0.16505572..0.16505572]	[0.1643967..0.1643967]	[0.1643967..0.29440516]
						PS 18:1-23:3	[0.08118385..0.08118385]	[0.08248426..0.08248426]	[0.05039037..0.05039037]	[0.047609903..0.047609903]	[0.047609903..0.08248426]
						PS 18:0-23:4 (0z-10z)	[0.17693758..0.17693758]	[0.18738958..0.18738958]	[0.091254644..0.091254644]	[0.09113002..0.09113002]	[0.09113002..0.18738958]
						PS 19:1-22:3	[0.0021667532..0.0021667532]	[0.0029495924..0.0029495924]	[0.0039652847..0.0039652847]	[0.003966088..0.003966088]	[0.0021667532..0.003966088]
						PS 19:0-22:4 (0z-10z)	[0.014434856..0.014434856]	[0.015655078..0.015655078]	[0.014051148..0.014051148]	[0.015581268..0.015581268]	[0.014051148..0.015655078]
						PS 20:4 (0z-8z)-21:0	[0.00512088..0.00512088]	[0.0059266..0.0059266]	[0.005394226..0.005394226]	[0.006109454..0.006109454]	[0.00512088..0.006109454]
PS 41:5:0	0.14788996	0.121914744	0.12789765	0.104987994	[0.104987994..0.14788996]	Sum	[0.011845564..0.011845564]	[0.013403571..0.013403571]	[0.010620718..0.010620718]	[0.012345162..0.012345162]	[0.010620718..0.013403571]
						PS 19:0-22:5 (0z-7z)	[0.011845562..0.011845562]	[0.013403568..0.013403568]	[0.010620715..0.010620715]	[0.012345165..0.012345165]	[0.010620715..0.013403568]
PS 41:6:0	0.14208211	0.17297582	0.19542298	0.17221953	[0.14208211..0.19542298]	Sum	[0.014638173..0.014638173]	[0.020612858..0.020612858]	[0.016057275..0.016057275]	[0.01535879..0.01535879]	[0.014638173..0.020612858]
						PS 19:0-22:6	[0.0146381715..0.0146381715]	[0.020612853..0.020612853]	[0.01605727..0.01605727]	[0.0153587945..0.0153587945]	[0.0146381715..0.020612853]
PS 42:2:0	2.4682808	2.4721553	2.3823433	2.453822	[2.3823433..2.4721553]	Sum	[1.471698..1.471698]	[1.4699715..1.4699715]	[1.3613856..1.3613856]	[1.4074451..1.4074451]	[1.3613856..1.471698]
						PS 18:1-24:1	[1.1777178..1.1777178]	[1.1796718..1.1796718]	[1.0869272..1.0869272]	[1.1141963..1.1141963]	[1.0869272..1.1796718]
						PS 18:0-24:2	[0.27129298..0.27129298]	[0.2682161..0.2682161]	[0.24880622..0.24880622]	[0.26614937..0.26614937]	[0.24880622..0.27129298]
						PS 20:1-22:1	[0.022687063..0.022687063]	[0.02208333..0.02208333]	[0.025651712..0.025651712]	[0.02709952..0.02709952]	[0.02208333..0.02709952]
PS 42:5:0	1.8024487	1.8618239	1.874375	1.7798676	[1.7798676..1.874375]	Sum	[0.8455533..0.8455533]	[0.89261353..0.89261353]	[0.8661614..0.8661614]	[0.8564596..0.8564596]	[0.8455533..0.89261353]
						PS 18:1-24:4	[0.32175097..0.32175097]	[0.33716473..0.33716473]	[0.31849843..0.31849843]	[0.32018477..0.32018477]	[0.31849843..0.33716473]
						PS 18:0-24:5 (0z-9z)	[0.5238022..0.5238022]	[0.55544865..0.55544865]	[0.5476627..0.5476627]	[0.536275..0.536275]	[0.5238022..0.55544865]
PS 42:6:0	0.62167275	0.6174053	0.6001533	0.62036836	[0.6001533..0.62167275]	Sum	[0.83653766..0.83653766]	[0.8257361..0.8257361]	[0.7879273..0.7879273]	[0.789186..0.789186]	[0.7879273..0.83653766]
						PS 18:1-24:5 (0z-9z)	[0.2577813..0.2577813]	[0.26200223..0.26200223]	[0.24331087..0.24331087]	[0.24107909..0.24107909]	[0.24107909..0.26200223]
						PS 18:0-24:6	[0.57875633..0.57875633]	[0.5637337..0.5637337]	[0.5446162..0.5446162]	[0.5481071..0.5481071]	[0.5446162..0.57875633]
