Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 18:0/22:4 (7z-10z)	[0.057677034..0.07355028]	[0.06262056..0.08100069]	[0.060422007..0.08370064]	[0.057677034..0.08370064]
PC 40:5:0	0.40164307	0.40237665	0.3692659	[0.3692659..0.40237665]	Sum	[0.33221668..0.39742324]	[0.35108215..0.40639177]	[0.32204723..0.38409585]	[0.32204723..0.40639177]
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0044247797]	[0.0..0.0]	[0.0..0.0044247797]
					PC 18:0/22:5 (4z-7z)	[0.3321311..0.3975831]	[0.3508797..0.4022527]	[0.3218716..0.3844332]	[0.3218716..0.4022527]
PC 40:6:0	0.26897413	0.2774496	0.28884938	[0.26897413..0.28884938]	Sum	[0.26783645..0.32513383]	[0.242808..0.2993043]	[0.23277195..0.2779081]	[0.23277195..0.32513383]
					PC 22:5 (4z-7z)/18:1	[0.042493995..0.06774115]	[0.04988738..0.07576549]	[0.04601978..0.06602136]	[0.042493995..0.07576549]
					PC 18:1/22:5 (4z-7z)	[0.0..0.007519268]	[0.0..0.012577071]	[0.0..0.0]	[0.0..0.012577071]
					PC 22:6 (4z)/18:0	[0.0..0.0]	[0.0..0.029395815]	[0.0..0.038187735]	[0.0..0.038187735]
					PC 18:0/22:6 (4z)	[0.22119898..0.25313163]	[0.16358359..0.22269557]	[0.15631923..0.21215409]	[0.15631923..0.25313163]
PC 44:0:0	6.0151863	5.9959884	5.973734	[5.973734..6.0151863]	Sum	[5.7618403..6.1278324]	[6.3307776..6.979642]	[6.026529..6.8148947]	[5.7618403..6.979642]
					PC 22:0/22:0	[5.764257..6.12562]	[6.335099..6.9749637]	[6.0304055..6.80917]	[5.764257..6.9749637]
PC 44:12:0	6.0536027	6.017892	6.063813	[6.017892..6.063813]	Sum	[5.008041..5.9409213]	[5.069272..6.1223235]	[4.7517667..6.1414003]	[4.7517667..6.1414003]
					PC 22:6 (4z)/22:6 (4z)	[5.0094786..5.938551]	[5.0727324..6.1182203]	[4.7548227..6.136293]	[4.7548227..6.136293]
