PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240604_eggPEO_25-35_1.mzXML,PRI:240604_eggPEO_25-35_2.mzXML,PRI:240604_eggPEO_25-35_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240604_eggPEO_25-35_1.mzXML,FA1I:240604_eggPEO_25-35_2.mzXML,FA1I:240604_eggPEO_25-35_3.mzXML,FACO1M,FACO1I:240604_eggPEO_25-35_1.mzXML,FACO1I:240604_eggPEO_25-35_2.mzXML,FACO1I:240604_eggPEO_25-35_3.mzXML
776.5602653802084,C45 H79 O7 N1 P1 ,PE O-,40.0,6.0,0.0,PE O- 40:6:0,0.39,180437.9,188770.9,179561.6,327.23297119140625,22.0,6.0,0.05,51161.9,46038.1,48996.2,283.2431640625,22734.0,20390.0,23798.7
778.5761548658855,C45 H81 O7 N1 P1 ,PE O-,40.0,5.0,0.0,PE O- 40:5:0,0.69,164389.4,170353.6,154873.9,329.2486267089844,22.0,5.0,0.07,142993.7,143775.7,143960.9,285.25877888997394,31399.9,31271.9,31691.0
#NCE,30,,,,,,,,,,,,,,,,,,,,
###,PEOFAS,,,,,,,,,,,,,,,,,,,,
698.5133700351563,C39 H73 O7 N1 P1 ,PE O-,34.0,3.0,0.0,PE O- 34:3:0,0.51,164375.5,157234.9,162430.5,279.23288981119794,18.0,2.0,-0.23,205702.9,197384.6,191234.8,, None, None, None
698.5133700351563,C39 H73 O7 N1 P1 ,PE O-,34.0,3.0,0.0,PE O- 34:3:0,0.51,164375.5,157234.9,162430.5,277.2172546386719,18.0,3.0,-0.18,3170.0,2502.4,2618.0,, None, None, None
698.5133700351563,C39 H73 O7 N1 P1 ,PE O-,34.0,3.0,0.0,PE O- 34:3:0,0.51,164375.5,157234.9,162430.5,253.21714782714844,16.0,1.0,-0.62,4324.5,4147.0,4765.8,, None, None, None
722.5129427890625,C41 H73 O7 N1 P1 ,PE O-,36.0,5.0,0.0,PE O- 36:5:0,-0.1,35919.3,37621.5,36651.0,303.23292032877606,20.0,4.0,-0.12,23818.1,22302.1,24104.6,, None, None, None
722.5129427890625,C41 H73 O7 N1 P1 ,PE O-,36.0,5.0,0.0,PE O- 36:5:0,-0.1,35919.3,37621.5,36651.0,277.21726989746094,18.0,3.0,-0.13,1157.7,1193.1,0.0,, None, None, None
726.544538654948,C41 H77 O7 N1 P1 ,PE O-,36.0,3.0,0.0,PE O- 36:3:0,0.31,658003.9,633009.5,614519.7,281.2485046386719,18.0,1.0,-0.36,138708.4,130501.2,127182.8,, None, None, None
726.544538654948,C41 H77 O7 N1 P1 ,PE O-,36.0,3.0,0.0,PE O- 36:3:0,0.31,658003.9,633009.5,614519.7,279.2328491210937,18.0,2.0,-0.38,801126.3,745855.3,757993.7,, None, None, None
726.544538654948,C41 H77 O7 N1 P1 ,PE O-,36.0,3.0,0.0,PE O- 36:3:0,0.31,658003.9,633009.5,614519.7,277.2172546386719,18.0,3.0,-0.18,10293.9,9062.3,9178.5,, None, None, None
728.5604891757813,C41 H79 O7 N1 P1 ,PE O-,36.0,2.0,0.0,PE O- 36:2:0,0.72,1087610.4,1109217.6,1059027.2,281.2484944661458,18.0,1.0,-0.39,1028483.2,938748.5,940727.6,, None, None, None
728.5604891757813,C41 H79 O7 N1 P1 ,PE O-,36.0,2.0,0.0,PE O- 36:2:0,0.72,1087610.4,1109217.6,1059027.2,279.2328796386719,18.0,2.0,-0.27,1058272.8,997682.0,986829.5,, None, None, None
748.528201578125,C43 H75 O7 N1 P1 ,PE O-,38.0,6.0,0.0,PE O- 38:6:0,-0.62,193974.3,190106.9,181416.8,329.2486572265625,22.0,5.0,0.16,63769.5,52646.8,54288.9,, None, None, None
748.528201578125,C43 H75 O7 N1 P1 ,PE O-,38.0,6.0,0.0,PE O- 38:6:0,-0.62,193974.3,190106.9,181416.8,327.2329406738281,22.0,6.0,-0.04,17783.3,14548.4,13357.4,, None, None, None
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,331.26429239908856,22.0,4.0,0.11,28364.4,27222.2,25614.4,, None, None, None
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,329.2486267089844,22.0,5.0,0.07,64459.3,66947.3,63642.0,, None, None, None
750.5443555494793,C43 H77 O7 N1 P1 ,PE O-,38.0,5.0,0.0,PE O- 38:5:0,0.05,158840.3,164019.3,146842.0,303.23289998372394,20.0,4.0,-0.18,28798.5,26658.8,25677.3,, None, None, None
776.5602653802084,C45 H79 O7 N1 P1 ,PE O-,40.0,6.0,0.0,PE O- 40:6:0,0.39,180437.9,188770.9,179561.6,329.24863688151044,22.0,5.0,0.1,74365.8,75365.2,68561.2,, None, None, None
776.5602653802084,C45 H79 O7 N1 P1 ,PE O-,40.0,6.0,0.0,PE O- 40:6:0,0.39,180437.9,188770.9,179561.6,327.23293050130206,22.0,6.0,-0.08,20165.4,24643.2,20270.9,, None, None, None
778.5761548658855,C45 H81 O7 N1 P1 ,PE O-,40.0,5.0,0.0,PE O- 40:5:0,0.69,164389.4,170353.6,154873.9,359.2956085205078,24.0,4.0,0.15,4359.7,3738.3,0.0,, None, None, None
778.5761548658855,C45 H81 O7 N1 P1 ,PE O-,40.0,5.0,0.0,PE O- 40:5:0,0.69,164389.4,170353.6,154873.9,331.26427205403644,22.0,4.0,0.05,66287.5,71770.9,63261.0,, None, None, None
778.5761548658855,C45 H81 O7 N1 P1 ,PE O-,40.0,5.0,0.0,PE O- 40:5:0,0.69,164389.4,170353.6,154873.9,329.2486165364583,22.0,5.0,0.03,86192.6,79715.5,75870.3,, None, None, None
###,PEOCO,,,,,,,,,,,,,,,,,,,,
722.5129427890625,C41 H73 O7 N1 P1 ,PE O-,36.0,5.0,0.0,PE O- 36:5:0,-0.1,35919.3,37621.5,36651.0,303.23292032877606,20.0,4.0,-0.12,23818.1,22302.1,24104.6,259.2430419921875,2803.9,2607.8,2577.9
