CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,norm_Intensity_var
54,22,0,0,1,7.978427833,0.582261346
55,22,0,0,1,6.130452153,0.1933375
56,22,0,0,1,5.180625647,0.193208307
57,22,0,0,1,3.815568373,0.278673823
58,22,0,0,1,3.0856843,0.116472199
59,22,0,0,1,2.33430134,0.039927923
60,22,0,0,1,1.89756748,0.062260384
61,22,0,0,1,1.407882133,0.042377492
62,22,0,0,1,1.034939331,0.032297822
63,22,0,0,1,0.759521936,0.027642203
64,22,0,0,1,0.597831459,0.005093371
65,22,0,0,1,0.435009321,0.009642752
66,22,0,0,1,0.29042288,0.007075008
67,22,0,0,1,0.23388369,0.00775449
68,22,0,0,1,0.174049141,0.009019133
69,22,0,0,1,0.069593462,0.004349204
70,22,0,0,1,0.026890047,0.002397035
11,22,6,4,1,2.843906653,0.083141888
12,22,6,4,1,4.020747643,0.148315473
13,22,6,4,1,5.69621919,0.271637239
14,22,6,4,1,7.906003617,0.296091715
15,22,6,4,1,10.7516323,0.402876687
16,22,6,4,1,14.15675797,0.877661091
17,22,6,4,1,17.63060663,0.549415922
18,22,6,4,1,21.12801167,0.95902382
19,22,6,4,1,23.6379855,0.530540144
20,22,6,4,1,25.56944263,1.202134393
21,22,6,4,1,26.30463317,0.420426221
22,22,6,4,1,26.23941893,0.29357287
23,22,6,4,1,24.8305477,0.6431103
24,22,6,4,1,22.4261506,0.427202447
25,22,6,4,1,20.02345983,0.475374184
26,22,6,4,1,17.22933017,0.532922146
27,22,6,4,1,14.41907633,0.250566119
28,22,6,4,1,11.85268177,0.206871737
29,22,6,4,1,9.913640367,0.159285999
30,22,6,4,1,7.958111763,0.174419519
31,22,6,4,1,6.21514014,0.126386619
32,22,6,4,1,4.944205203,0.131401107
33,22,6,4,1,3.795419157,0.040949477
34,22,6,4,1,2.86951306,0.042424209
35,22,6,4,1,2.203399757,0.056267299
36,22,6,4,1,1.663868193,0.040653377
37,22,6,4,1,1.271558497,0.019510933
38,22,6,4,1,0.9471798,0.013121383
39,22,6,4,1,0.664296633,0.006258405
40,22,6,4,1,0.503354881,0.007378412
41,22,6,4,1,0.341603959,0.011168799
42,22,6,4,1,0.24058933,0.004833123
43,22,6,4,1,0.130303816,0.004536968
44,22,6,4,1,0.09476316,0.004516444
45,22,6,4,1,0.033475459,0.0010489
46,22,6,4,1,0.01441573,0.000736496
47,22,6,4,1,0.001666949,8.34E-05
